Sr.No.,Accord Code,Company Name,CD_BSE Code,CD_NSE Symbol,CD_Bloomberg Code,CD_Reuters Code,CD_Listing Status,CD_ISIN No,CD_CIN Number,CD_Industry
4853,289699,Parvati Sweetners and Power Ltd.,541347,,PARVATI IN,,Listed,INE295Z01015,L15421MP2011PLC027287,Sugar
4854,121080,Pasari Spinning Mills Ltd.,521080,,PSM IN,PSPM.BO,Listed,INE604F01010,L85110KA1991PLC012537,Textile - Spinning
4855,131005,Paschim Petrochem Ltd.,531005,,PSP IN,,Listed,INE066B01011,U99999MH1983PTC030235,Chemicals 
4856,131662,Pashupati Cables Ltd.,531662,,PSCB IN,,Listed,,L31300MH1994PLC076819,Cable
4857,287154,Pashupati Cotspin Ltd.,,PASHUPATI,PASHCL IN,PASH.BO,Listed,INE124Y01010,U17309GJ2017PLC098117,Textile - Spinning
4858,126353,Pashupati Seohung Ltd.,526353,,PSS IN,,Listed,INE322D01014,U25201WB1992PLC055223,Pharmaceuticals & Drugs
4859,100456,Pasupati Acrylon Ltd.,500456,PASUPTACRY,PSA IN,PASA.BO,Listed,INE818B01023,L50102UP1982PLC015532,Textile - Manmade  Fibres
4860,205648,Pasupati Fabrics Ltd.,532069,PASUPATI,PSUF IN,,Listed,INE095D01024,L93000DL1991PLC046549,Textile 
4861,111734,Pasupati Fincap Ltd.,511734,,PSFN IN,PASF.BO,Listed,INE527C01010,L65910HR1996PLC033099,Finance - Investment
4862,103092,Pasupati Spinning & Weaving Mills Ltd.,503092,PASUPATSPG,PSSW IN,PASU.BO,Listed,INE909B01020,L74900HR1979PLC009789,Textile - Spinning
4863,278567,Patdiam Jewellery Ltd.,539401,,PAJE IN,PAJL.BO,Listed,INE473T01011,U36911MH1999PLC120537,Diamond  &  Jewellery
4864,131120,Patel Engineering Ltd.,531120,PATELENG,PEC IN,PENG.BO,Listed,INE244B01030,L99999MH1949PLC007039,Engineering - Construction
4865,283804,Patel Infrastructure Ltd.,,,,,Listed,,U45201GJ2004PTC043955,Construction - Real Estate
4866,126381,Patel Integrated Logistics Ltd.,526381,PATINTLOG,PTIL IN,PATL.BO,Listed,INE529D01014,L71110MH1962PLC012396,Logistics
4867,117417,Patels Airtemp (India) Ltd.,517417,,PTA IN,PAAI.BO,Listed,INE082C01024,L29190GJ1992PLC017801,Engineering - Industrial Equipments
4868,100326,Patheja Forgings & Auto-Parts Mfrs. Ltd.,500326,PATHEJAFOR,PFAP IN,,Listed,,U34300MH1968PTC013906,Forgings
4869,124031,Patidar Buildcon Ltd.,524031,,PATI IN,PATB.BO,Listed,INE637N01014,L99999GJ1989PTC058691,Construction - Real Estate
4870,244868,Patna Electric Supply Co Ltd.,,,,,Listed,,L40109WB1956PLC023307,Power Generation/Distribution
4871,114326,Patspin India Ltd.,514326,PATSPINLTD,PTS IN,PATS.BO,Listed,INE790C01014,L18101KL1991PLC006194,Textile - Spinning
